ticker,price,exchange,currency
RXST,26.11,NASDAQ,USA
SCHN,32.30,NASDAQ,USA
NX,26.36,NYSE,USA
ARLO,9.26,NYSE,USA
WEST,11.25,NASDAQ,USA
EB,8.67,NYSE,USA
TBLA,2.89,NASDAQ,USA
BCSF,13.47,NYSE,USA
OXLC,4.85,NASDAQ,USA
UTL,53.99,NYSE,USA
GABC,28.37,NASDAQ,USA
FBMS,27.28,NASDAQ,USA
PRDO,12.53,NASDAQ,USA
INVA,12.89,NASDAQ,USA
MRC,103.06,TSE,CAD
SBSI,26.69,NASDAQ,USA
SBGI,12.85,NASDAQ,USA
PLPC,166.33,NASDAQ,USA
BRKL,9.12,NASDAQ,USA
KURA,10.72,NASDAQ,USA
COLL,23.64,NASDAQ,USA
PRA,25.85,TSE,CAD
TGI,12.36,NYSE,USA
SLRC,14.29,NASDAQ,USA
MVIS,4.27,NASDAQ,USA
ME,1.62,NASDAQ,USA
SHYF,22.44,NASDAQ,USA
CANO,1.41,NYSE,USA
HSTM,24.28,NASDAQ,USA
LXU,10.04,NYSE,USA
LYEL,3.19,NASDAQ,USA
SPTN,21.71,NASDAQ,USA
MYE,19.61,NYSE,USA
RWT,6.48,NYSE,USA
GRC,0.11,TSE,CAD
RAPT,21.18,NASDAQ,USA
CHUY,40.63,NASDAQ,USA
OFIX,19.67,NASDAQ,USA
BJRI,31.03,NASDAQ,USA
CRAI,103.00,NASDAQ,USA
SES,2.13,NYSE,USA
BASE,25.55,TSE,CAD
LASR,15.71,NASDAQ,USA
ALLO,4.71,NASDAQ,USA
EGBN,22.27,NASDAQ,USA
SSP,8.30,NASDAQ,USA
MCRB,5.72,NASDAQ,USA
TRNS,90.21,NASDAQ,USA
DENN,12.04,NASDAQ,USA
DX,12.54,NYSE,USA
SXC,8.08,NYSE,USA
KE,26.71,NASDAQ,USA
IDT,26.08,NYSE,USA
GMRE,9.40,NYSE,USA
BV,7.06,NYSE,USA
MLYS,16.42,NASDAQ,USA
AGEN,1.84,NASDAQ,USA
LDI,2.05,NYSE,USA
GPRO,4.19,NASDAQ,USA
HAYN,50.01,NASDAQ,USA
EGLE,46.34,NYSE,USA
EXFY,8.17,NASDAQ,USA
ATNI,38.41,NASDAQ,USA
OSPN,15.31,NASDAQ,USA
SCWX,6.79,NASDAQ,USA
VYGR,12.64,NASDAQ,USA
HBT,18.65,NASDAQ,USA
OSBC,13.53,NASDAQ,USA
BOC,19.05,NYSE,USA
MYPS,4.74,NASDAQ,USA
SCVL,22.78,NASDAQ,USA
ATRO,19.61,NASDAQ,USA
FORR,30.57,NASDAQ,USA
LQDA,9.41,NASDAQ,USA
ARQT,9.66,NASDAQ,USA
BTAI,19.06,NASDAQ,USA
TCMD,24.63,NASDAQ,USA
FATE,5.79,NASDAQ,USA
EDIT,8.02,NASDAQ,USA
CYH,18.96,TSE,CAD
ATLC,40.08,NASDAQ,USA
DMRC,28.09,NASDAQ,USA
CVGW,32.17,NASDAQ,USA
ACRE,10.25,NYSE,USA
FRPH,56.87,NASDAQ,USA
LIND,10.59,NASDAQ,USA
NPK,76.84,NYSE,USA
RGP,16.14,NASDAQ,USA
AGX,40.85,NYSE,USA
ONEW,34.23,NASDAQ,USA
HOV,99.33,NYSE,USA
CLW,30.45,NYSE,USA
DHIL,174.70,NASDAQ,USA
NFBK,11.17,NASDAQ,USA
MRNS,10.37,NASDAQ,USA
CVLG,40.24,NASDAQ,USA
MCFT,29.74,NASDAQ,USA
HTBK,8.40,NASDAQ,USA
TSVT,10.21,NASDAQ,USA
ANAB,19.90,NASDAQ,USA
GCBC,29.65,NASDAQ,USA
FLWS,7.79,NASDAQ,USA
FC,10.30,TSE,CAD
GOOD,12.24,NASDAQ,USA
LQDT,15.96,NASDAQ,USA
AMAL,16.21,NASDAQ,USA
TRDA,15.15,NASDAQ,USA
CLSK,4.78,NASDAQ,USA
NRIX,10.01,NASDAQ,USA
CABA,12.03,NASDAQ,USA
TRIN,13.61,NASDAQ,USA
ACCO,5.13,NYSE,USA
KRNY,7.25,NASDAQ,USA
HAFC,15.71,NASDAQ,USA
AURA,12.61,NASDAQ,USA
LAW,7.74,NYSE,USA
LBC,9.06,NASDAQ,USA
HIBB,37.20,NASDAQ,USA
MBI,8.57,NYSE,USA
BFLY,2.24,NYSE,USA
QNST,8.48,NASDAQ,USA
MBWM,28.19,NASDAQ,USA
EZPW,8.30,NASDAQ,USA
TPIC,10.62,NASDAQ,USA
NVEC,94.59,NASDAQ,USA
TNYA,6.17,NASDAQ,USA
EGHT,3.65,NASDAQ,USA
CDNA,8.07,NASDAQ,USA
PETQ,14.81,NASDAQ,USA
MGTX,6.91,NASDAQ,USA
GAIN,12.86,NASDAQ,USA
KOD,7.29,NASDAQ,USA
SFIX,3.64,NASDAQ,USA
OMGA,7.13,NASDAQ,USA
SLAM,10.59,NASDAQ,USA
NEWT,17.03,NASDAQ,USA
MCB,1.40,TSE,CAD
SCPL,19.51,NASDAQ,USA
SRDX,30.10,NASDAQ,USA
VTNR,5.35,NASDAQ,USA
RCEL,15.87,NASDAQ,USA
ALLK,4.49,NASDAQ,USA
ICVX,9.67,NASDAQ,USA
SCWO,3.17,NASDAQ,USA
FFIC,13.78,NASDAQ,USA
RXT,1.84,NASDAQ,USA
SKYT,8.84,NASDAQ,USA
OSUR,5.31,NASDAQ,USA
SGHT,8.05,NASDAQ,USA
MRSN,3.28,NASDAQ,USA
VLD,1.99,NYSE,USA
RSVR,6.07,NASDAQ,USA
IBEX,20.93,NASDAQ,USA
VHI,2.70,TSE,CAD
CCNE,17.75,NASDAQ,USA
ARAY,3.84,NASDAQ,USA
PNNT,5.79,NYSE,USA
FSBC,21.66,NASDAQ,USA
ALRS,18.49,NASDAQ,USA
AVNW,31.72,NASDAQ,USA
GNE,14.33,NYSE,USA
TTI,2.84,NYSE,USA
CPSI,24.90,NASDAQ,USA
ZYXI,9.69,NASDAQ,USA
SVRA,3.05,NASDAQ,USA
VMD,9.71,NASDAQ,USA
SMTI,43.55,NASDAQ,USA
KRT,17.98,NASDAQ,USA
ASRT,6.32,NASDAQ,USA
OLMA,8.40,NASDAQ,USA
BAND,13.02,NASDAQ,USA
UTMD,93.75,NASDAQ,USA
LSEA,8.58,NASDAQ,USA
TPC,6.51,NYSE,USA
IMRX,11.16,NASDAQ,USA
GBIO,5.35,NASDAQ,USA
CVGI,10.18,NASDAQ,USA
TCI,37.62,NYSE,USA
NATH,81.75,NASDAQ,USA
YMAB,7.53,NASDAQ,USA
DXLG,5.24,NASDAQ,USA
FMAO,23.84,NASDAQ,USA
SENEA,42.99,NASDAQ,USA
TWOU,3.84,NASDAQ,USA
PGEN,1.17,NASDAQ,USA
STRO,5.39,NASDAQ,USA
AMNB,29.32,NASDAQ,USA
NVTA,1.15,NYSE,USA
OSG,4.43,NYSE,USA
ZUMZ,16.18,NASDAQ,USA
