ticker,ex_dividend_date,payment_date,amount
CP,2021-12-30,2022-01-31,$0.19
CP,2021-09-23,2021-10-25,$0.19
CP,2021-06-24,2021-07-26,$0.19
CP,2021-03-25,2021-04-26,$0.19
CP,2020-12-30,2021-01-25,$0.19
CP,2020-09-24,2020-10-26,$0.19
CP,2020-06-25,2020-07-27,$0.166
CP,2020-03-26,2020-04-27,$0.166
CP,2019-12-26,2020-01-27,$0.166
CP,2019-09-26,2019-10-28,$0.166
CP,2019-06-27,2019-07-29,$0.166
CP,2019-03-28,2019-04-29,$0.13
CP,2018-12-27,2019-01-28,$0.13
CP,2018-09-27,2018-10-29,$0.13
CP,2018-06-28,2018-07-30,$0.13
CP,2018-03-22,2018-04-30,$0.1125
CP,2017-12-28,2018-01-29,$0.1125
CP,2017-09-28,2017-10-30,$0.1125
CP,2017-06-28,2017-07-31,$0.1125
CP,2017-03-29,2017-04-24,$0.10
CP,2016-12-28,2017-01-30,$0.10
CP,2016-09-28,2016-10-24,$0.10
CP,2016-06-22,2016-07-25,$0.10
CP,2016-03-22,2016-04-25,$0.07
CP,2015-12-29,2016-01-25,$0.07
CP,2015-09-23,2015-10-26,$0.07
CP,2015-06-24,2015-07-27,$0.07
CP,2015-03-25,2015-04-27,$0.07
CP,2014-12-29,2015-01-26,$0.07
CP,2014-09-24,2014-10-27,$0.07
CP,2014-06-25,2014-07-28,$0.07
CP,2014-03-26,2014-04-28,$0.07
CP,2013-12-23,2014-01-27,$0.07
CP,2013-09-25,2013-10-28,$0.07
CP,2013-06-26,2013-07-29,$0.07
CP,2013-03-26,2013-04-29,$0.07
CP,2012-12-24,2013-01-28,$0.07
CP,2012-09-26,2012-10-29,$0.07
CP,2012-06-20,2012-07-30,$0.07
CP,2012-03-28,2012-04-30,$0.07
CP,2011-12-28,2012-01-30,$0.06
CP,2011-09-28,2011-10-31,$0.06
CP,2011-06-22,2011-07-25,$0.06
CP,2011-03-23,2011-04-25,$0.054
CP,2010-12-29,2011-01-31,$0.054
CP,2010-09-22,2010-10-25,$0.054
CP,2010-06-23,2010-07-26,$0.054
CP,2010-03-24,2010-04-26,$0.0495
CP,2009-12-29,2010-01-25,$0.0495
CP,2009-09-23,2009-10-26,$0.0495
CP,2009-06-24,2009-07-27,$0.0495
CP,2009-03-25,2009-04-27,$0.0495
CP,2008-12-22,2009-01-26,$0.0495
CP,2008-09-24,2008-10-31,$0.0495
CP,2008-06-25,2008-07-28,$0.0495
CP,2008-03-26,2008-04-28,$0.0495
CP,2007-12-24,2008-01-25,$0.045
CP,2007-09-26,2007-10-29,$0.045
CP,2007-06-27,2007-07-30,$0.045
CP,2007-03-28,2007-04-30,$0.045
CP,2006-12-27,2007-01-29,$0.0376
CP,2006-09-27,2006-10-30,$0.0376
CP,2006-06-28,2006-07-31,$0.0376
CP,2006-03-29,2006-05-01,$0.0376
CP,2005-12-28,2006-01-30,$0.03
CP,2005-09-28,2005-10-31,$0.03
CP,2005-06-22,2005-07-25,$0.03
CP,2005-03-22,2005-04-25,$0.0266
CP,2004-12-29,2005-01-31,$0.0266
CP,2004-09-22,2004-10-25,$0.0266
CP,2004-06-23,2004-07-26,$0.0256
CP,2004-03-24,2004-04-26,$0.0256
CP,2003-12-22,2004-01-23,$0.0256
CP,2003-09-24,2003-10-27,$0.0256
FM,2024-04-13,2024-05-07,$0.13**
FM,2023-08-26,2023-09-20,$0.13**
FM,2023-04-14,2023-05-08,$0.13
FM,2022-08-26,2022-09-20,$0.005
FM,2022-04-13,2022-05-06,$0.005
FM,2021-08-27,2021-09-21,$0.005
FM,2021-04-14,2021-05-06,$0.005
FM,2020-08-27,2020-09-21,$0.005
FM,2020-04-15,2020-05-07,$0.005
FM,2019-08-27,2019-09-19,$0.005
FM,2019-04-12,2019-05-07,$0.005
FM,2018-08-27,2018-09-19,$0.005
FM,2018-04-16,2018-05-08,$0.005
FM,2017-08-24,2017-09-19,$0.005
FM,2017-04-12,2017-05-08,$0.005
FM,2016-08-24,2016-09-19,$0.005
FM,2016-04-11,2016-05-04,$0.01
FM,2015-08-26,2015-09-21,$0.033
FM,2015-04-13,2015-05-06,$0.0487
FM,2014-08-26,2014-09-19,$0.0504
FM,2014-04-10,2014-05-06,$0.093
FM,2013-08-26,2013-09-19,$0.0583
FM,2013-04-12,2013-05-07,$0.1147
FM,2012-08-27,2012-09-20,$0.0603
FM,2012-04-13,2012-05-08,$0.1277
FM,2011-08-25,2011-09-20,$0.0533
FM,2011-04-12,2011-05-05,$0.1206
FM,2010-08-25,2010-09-20,$0.0394
FM,2010-04-13,2010-05-06,$0.1024
FM,2009-08-26,2009-09-21,$0.016
FM,2008-08-20,2008-09-15,$0.052
FM,2008-04-09,2008-05-02,$0.108
FM,2007-08-27,2007-09-21,$0.048
FM,2007-04-17,2007-05-14,$0.125
FM,2006-08-18,2006-09-13,$0.019
FM,2006-04-17,2006-05-12,$0.053
FM,2005-08-24,2005-09-19,$0.004
FM,2005-04-07,2005-05-06,$0.012
CF,2023-09-01,2023-09-15,$0.085**
CF,2023-02-23,2023-03-10,$0.085
CF,2022-12-01,2022-12-15,$0.085
CF,2022-09-01,2022-09-15,$0.085
CF,2022-06-16,2022-06-30,$0.085
CF,2022-02-24,2022-03-10,$0.085
CF,2021-11-25,2021-12-10,$0.075
CF,2021-08-26,2021-09-10,$0.075
CF,2021-06-17,2021-06-30,$0.075
CF,2021-02-25,2021-03-10,$0.065
CF,2020-11-26,2020-12-10,$0.055
CF,2020-08-27,2020-09-10,$0.055
CF,2020-06-18,2020-06-30,$0.05
CF,2020-02-27,2020-03-10,$0.05
CF,2019-11-28,2019-12-10,$0.05
CF,2019-08-29,2019-09-10,$0.05
CF,2019-06-20,2019-07-02,$0.16
CF,2019-06-20,2019-07-02,$0.01
CF,2019-02-28,2019-03-15,$0.01
CF,2018-11-29,2018-12-10,$0.01
CF,2018-08-30,2018-09-10,$0.01
CF,2018-06-21,2018-07-03,$0.11
CF,2018-06-21,2018-07-03,$0.01
CF,2018-03-01,2018-03-15,$0.01
CF,2017-11-30,2017-12-15,$0.01
CF,2017-08-30,2017-09-15,$0.01
