"Rank","Name","Symbol","marketcap","price (USD)","country"
"331","Xebec Adsorption","XBC.TO","58696946","0.38","Canada"
"332","Mega Uranium","MGA.TO","57166475","0.16","Canada"
"333","Mogo","MOGO","56454652","0.7101","Canada"
"334","Silver One Resources","SVE.V","52619275","0.24","Canada"
"335","PopReach","POPR.V","49677772","0.17","Canada"
"336","East Side Games","EAGR.TO","43196458","0.53","Canada"
"337","Aptose Biosciences","APTO","36159360","5.74","Canada"
"338","Sierra Metals","SMTS","32706228","0.1995","Canada"
"339","DIRTT Environmental Solutions","DRTT","31511978","0.2998","Canada"
"340","HEXO","HEXO","31237444","0.71","Canada"
"341","Cielo Waste Solutions","CMC.V","30999325","0.03","Canada"
"342","Acasti Pharma","ACST","25429296","0.57","Canada"
"343","Akumin","AKU","24887086","0.275","Canada"
"344","Sphere 3D","ANY","22878640","0.2961","Canada"
"345","Lucy Scientific Discovery","LSDI","19282852","1.18","Canada"
"346","Almaden Minerals","AAU","17564288","0.128","Canada"
"347","Titan Medical","TMDI","16070740","0.14","Canada"
"348","Playgon Games","DEAL.V","14379646","0.06","Canada"
"349","DAVIDsTEA","DTEA","13816919","0.52","Canada"
"350","IMV","IMV","9808230","0.8225","Canada"
"351","Orosur Mining","OMI.V","9276016","0.05","Canada"
"352","Trillium Gold Mines","TGM.V","6340425","0.08","Canada"
"353","Zoomd Technologies","ZOMD.V","5888194","0.06","Canada"
"354","Versus Systems","VS","5829722","0.544","Canada"
"355","Wolverine Energy and Infrastructure","WEII.V","5010792","0.05","Canada"
"356","Bruush Oral Care (Brüush)","BRSH","3973853","0.3214","Canada"
"357","Field Trip Health","FTHW.V","3701866","0.04","Canada"
"358","Liquid Media Group","YVR","3383690","0.1752","Canada"
"359","Neptune Wellness Solutions","NEPT","2789955","0.17","Canada"
"360","Great Panther Mining","GPLDF","2121169","0.045","Canada"
"361","Kuuhubb","KUU.V","1219594","0.02","Canada"
"362","Playground Ventures","PLAY.CN","910896","0.01","Canada"
"363","Skylight Health Group","SLHG.V","602775","0.02","Canada"
